iteration,path_length,coverage_ratio,coverage_cost
1,132.5582338818004,0.7173217274857717,29901.444660426263
2,236.415119767811,0.7605356545028457,23650.493296366705
3,319.86243741225104,0.795085369936391,19515.20013306829
4,389.0264907913055,0.8219082691663877,16740.898880655957
5,447.6993723863199,0.8434415801807834,14846.549052611917
6,498.3844674330236,0.8601540006695682,13527.51837690967
7,542.7368134768453,0.8732239705390024,12590.49846585215
8,581.9581673831698,0.8829862738533646,11909.59948724748
9,616.9661255913448,0.8900569132909274,11404.184375932595
10,648.475497320338,0.8956812855708068,11020.02725306279
11,677.01617172009,0.8997388684298627,10721.984887711367
12,702.9610515513727,0.9031001004352193,10486.308162847361
13,726.7224485507627,0.9052828925343154,10295.789177860795
14,748.497602963948,0.9077469032474055,10139.565845765284
15,768.5801917020375,0.9092333444928021,10009.311988363117
16,787.1603949766927,0.9098359558085035,9899.31202681545
17,804.3097512612451,0.9095547371945095,9805.642204632848
18,820.230468193127,0.9094877803816538,9724.928889430817
19,835.0307149357933,0.9086173418145296,9654.868190022014
20,848.8243118666828,0.908175426849682,9593.56080587297
21,861.6788809666275,0.9073451623702712,9539.63361488532
22,873.7116764374318,0.906474723803147,9491.859590195154
23,884.9567525178294,0.9056444593237362,9449.462838900386
24,895.510755216851,0.9048141948443255,9411.534726955966
25,905.4287715940934,0.9039839303649146,9377.49499712468
26,914.7762911464083,0.9032340140609307,9346.789369540702
