iteration,path_length,coverage_ratio,coverage_cost
1,87.15490975226018,0.8404901513289561,17248.247861016553
2,162.21281909742024,0.860760975153026,15635.164071047864
3,227.18663805401212,0.8736818697845348,14463.848130189748
4,283.65435526410704,0.8811722434839601,13595.841486070796
5,332.92081438489816,0.8854675046522242,12939.503850848812
6,376.0789498127532,0.8874337277483234,12434.13189133286
7,414.0120648756707,0.8877029130531465,12038.06451535595
8,447.44364573859104,0.8862048383132615,11723.519143560907
9,477.0390789209118,0.8843322448884051,11470.25028716818
10,503.3393738374243,0.8821904661587257,11264.057468734021
11,526.7866591916967,0.8800486874290463,11094.658777625264
12,547.7859497433254,0.8779303161171775,10954.609165236603
13,566.6399327089384,0.8758821670587409,10837.920472956448
14,583.6642951008473,0.8737052772023455,10739.89485817575
15,599.1048114499865,0.8716805355617195,10657.202652492646
16,613.214757819439,0.8698898680992007,10586.988668428989
17,626.0990914504761,0.8683215711058835,10527.256381889967
18,637.9579122991022,0.8669288297461466,10475.95699637045
19,648.901742517853,0.8656648291843685,10431.736767263492
20,659.0635412876404,0.8644242360404012,10393.480629184134
21,668.4498640115496,0.8632655688587714,10360.397436248337
22,677.1619834923019,0.8620015682969934,10331.645284462873
23,685.2974267756047,0.8610769752934705,10306.393403275537
24,692.8683968515737,0.8599417155296514,10284.269222174089
