iteration,path_length,coverage_ratio,coverage_cost
1,183.31595963120034,0.25864580523334235,120412.61194435427
2,333.6482032157045,0.3309054941102419,85513.11176720241
3,457.2903001921056,0.37656685549860625,63016.030771909616
4,559.296521785359,0.41382969157449867,48442.885155026015
5,643.7187741918506,0.4708029853430447,38934.67017687031
6,713.8592666738981,0.5282978149446992,32667.73316406895
7,772.371501602217,0.5812247100080928,28480.372660333625
8,821.3848630143464,0.6231993525762072,25632.970620876942
9,862.6364920145746,0.6493660642028595,23654.820077953937
10,897.5358736475969,0.6678356262925996,22245.884710801998
11,927.2351817509802,0.6809279741030483,21214.76215500653
12,952.6643988930132,0.6906033630069238,20438.96128653102
13,974.5896212639503,0.6973833288373348,19839.595569571182
14,993.6497970593276,0.7016095674849384,19364.984036894846
15,1010.3473278124932,0.7043071666217067,18981.4680083324
16,1025.0940665484711,0.7051524143512274,18666.363528008293
17,1038.2155944127414,0.7040374067080298,18404.1499206162
18,1049.9732865405372,0.7024727992087042,18183.79493182541
19,1060.5659599316077,0.6995773761352396,17997.442236262326
20,1070.1614820528264,0.6952792015106555,17839.000427590054
21,1078.8770629605629,0.6903156190990019,17704.0241021417
22,1086.8218878175721,0.6830680694182177,17588.718980660873
23,1094.0839452376592,0.6767197194496898,17490.068821221816
24,1100.7277949646116,0.670838953331535,17405.70353731143
25,1106.8115266808732,0.6652099631328118,17333.56056919088
26,1112.385811801175,0.6607499325600216,17271.8896850896
27,1117.5195056892435,0.6562899019872314,17218.95073569529
28,1122.2349447346817,0.6524233432245302,17173.678240741454
29,1126.5705757860649,0.6486826724215449,17134.948100022597
