iteration,path_length,coverage_ratio,coverage_cost
1,220.64670738743496,0.3851259192598113,25055.43119436138
2,406.30686363763743,0.42937694222197226,20319.023879422595
3,565.0195261306058,0.4694236258559838,17060.813608412886
4,704.150687525721,0.5065455516965002,14755.019480142755
5,828.3981143902744,0.5424160186734536,13068.46767950217
6,940.4182810601513,0.5750383171393619,11791.353717478165
7,1042.5318214785725,0.6060013780108835,10790.275409212692
8,1136.9959315853084,0.6352208332747444,9980.097757380861
9,1225.115758075754,0.6608265253033733,9305.297129488992
10,1307.4888483070936,0.6839152382693309,8732.183254404694
11,1384.929983727411,0.7022652811564042,8235.885799896487
12,1457.8029955203256,0.7187170437448149,7800.566856221766
13,1526.3822890917254,0.7313300617292631,7416.1608458297005
14,1591.16911004759,0.7394293910035575,7074.098424490926
15,1652.2750013226846,0.7447305145042676,6768.790880359011
16,1709.9704763791117,0.7487520564703235,6496.387152712617
17,1764.3877532053373,0.751747120941547,6253.664895331418
18,1815.688714988934,0.7541234866487619,6037.809003484298
19,1864.2015222914367,0.7556139882166009,5845.6517023814085
20,1909.8362777820107,0.755726478900966,5675.474013008686
21,1952.916223340238,0.7557686629076029,5524.708043278832
22,1993.5865691436802,0.7543484680174923,5391.10554096047
23,2031.9139305028789,0.7527314144297426,5272.964984014398
24,2068.211308917638,0.7508190727955342,5168.088749123344
25,2102.3731438192963,0.7485411364371388,5075.440639281605
26,2134.7564834725054,0.7461085253877413,4993.095725705416
27,2165.4151114722094,0.743549362318433,4919.864168312059
28,2194.2245413158566,0.7410323832557616,4855.0882351329055
29,2221.6735576537317,0.7379670121068099,4797.112261926496
30,2247.4800578444206,0.7355765850640494,4745.865223425736
31,2271.9583230345092,0.7327643179549194,4699.910400563112
32,2295.065908765015,0.7300223575235176,4658.917958779184
33,2317.0763720481477,0.7274069491120266,4621.983642246377
34,2337.7787809163747,0.7244540686474401,4589.30594762482
35,2357.344143691766,0.7223308069800469,4559.944214794223
36,2376.0951765172344,0.7188154730936345,4533.239397996922
