iteration,path_length,coverage_ratio,coverage_cost
1,166.57452606272776,0.46619629317607414,11729.593338277115
2,315.87807636793224,0.49702798839277357,10398.517766258736
3,449.33524261930313,0.5226762145464757,9419.653661673852
4,568.6631417478749,0.54400683328653,8684.796021604878
5,675.4593315060484,0.5634653187306936,8122.3274253536
6,770.9849521806759,0.5814729008705419,7685.133494681805
7,856.5705244350843,0.5963914630721707,7340.119852989804
8,933.3437410959543,0.6092155761490218,7063.655346076779
9,1002.2497777056013,0.6187634559580643,6839.755803057132
10,1064.2627097393354,0.6257137508190583,6655.351284710644
11,1120.0336933268268,0.6295048207432369,6502.253760962278
12,1170.3209278759318,0.6318683890292989,6373.572419770621
13,1215.7745930564374,0.6337990264906861,6264.0858666273125
14,1257.041620737031,0.6350393147992137,6169.943441560746
15,1294.4202751429543,0.6361391931105495,6088.397392704711
