Time (s),Order,Entropy
1,0.17401,0.32508
2,0.88681,0.61086
3,0.94184,0.56234
4,0.97327,0.74603
5,0.95497,1.27985
6,0.96829,0.99893
7,0.96379,0.3944
8,0.98376,0.61086
9,0.9632,0.5004
10,0.96761,0.61287
11,0.96843,1.35353
12,0.98511,0.5004
13,0.96661,0.3944
14,0.93215,0.69315
15,0.75317,0.61287
16,0.89885,0.51819
17,0.87039,0.80182
18,0.90584,1.09607
19,0.9445,1.0889
20,0.93779,1.16112
21,0.97091,0.99858
22,0.98167,0.32508
23,0.97914,0.51819
24,0.97135,0.97457
25,0.97298,1.07005
26,0.96128,0.19852
27,0.98362,0.61086
28,0.95368,0.89795
29,0.9581,0.67301
30,0.97195,0.88646
31,0.97108,0.56234
32,0.96634,0
33,0.77297,0
34,0.63498,0.19852
35,0.93996,0
36,0.96883,0.67301
37,0.86644,0.19852
38,0.88631,0.68744
39,0.96004,1.23484
40,0.98565,0.85569
