Time (s),Order,Entropy
1,0.29304,0.32508
2,0.96758,0.61086
3,0.95365,0.61086
4,0.97128,0.5004
5,0.98233,1.34515
6,0.95887,0.5004
7,0.95477,0.51819
8,0.97059,0.5004
9,0.95933,0.5004
10,0.98248,1.28702
11,0.98298,1.03311
12,0.97787,0.5004
13,0.98243,0.79099
14,0.62838,0.61086
15,0.88928,0.63903
16,0.85648,0.61086
17,0.89732,0.89795
18,0.87694,1.03311
19,0.9473,0.61287
20,0.97155,0.99727
21,0.97524,0.56234
22,0.97436,0
23,0.98299,0.3944
24,0.96649,1.24878
25,0.97423,0.7999
26,0.96191,0
27,0.95676,0.68814
28,0.97457,0.95027
29,0.9762,0.64745
30,0.96261,0.92651
31,0.97136,0.56234
32,0.88063,0
33,0.58652,0
34,0.52491,0
35,0.84589,0.5004
36,0.86482,0.56234
37,0.76719,0.61287
38,0.95454,1.40014
39,0.96855,1.2566
40,0.87189,1.2376
