Time (s),Order,Entropy
1,0.29752,0.5004
2,0.79259,0.42271
3,0.87019,0.79099
4,0.96357,0.68744
5,0.97107,0.67301
6,0.97237,1.25805
7,0.97672,0.42271
8,0.9818,0.32508
9,0.93536,0.68744
10,0.97106,0.42271
11,0.9675,0.89795
12,0.97845,1.10589
13,0.97011,0.42271
14,0.97946,0.89795
15,0.7938,0.51819
16,0.9135,0.61287
17,0.8744,0.79099
18,0.92862,1.10974
19,0.91994,1.10974
20,0.96224,1.16828
21,0.9599,1.04865
22,0.99297,0.51819
23,0.96172,0.19852
24,0.94083,0.73059
25,0.97583,1.27985
26,0.99127,0.7999
27,0.96052,0.74603
28,0.96738,0.61086
29,0.98037,0.5004
30,0.97177,0.94892
31,0.98206,0.92651
32,0.95999,0.32508
33,0.83753,0
34,0.60974,0.19852
35,0.70798,0
36,0.95407,0.56234
37,0.83325,0.42271
38,0.78269,0.32508
39,0.97078,1.16828
40,0.9652,1.09406
