Time (s),Order,Entropy
1,0.12492,0.32508
2,0.72178,0.67301
3,0.87413,0.32508
4,0.92675,0.5004
5,0.89692,1.38629
6,0.97927,0.92616
7,0.96949,0.70835
8,0.96283,0.42271
9,0.97647,0.19852
10,0.98337,1.1359
11,0.96161,0.92651
12,0.96931,0.61086
13,0.90966,1.01266
14,0.89427,0.51819
15,0.9016,0.61086
16,0.95278,0.99727
17,0.93593,0.68744
18,0.9704,0.74603
19,0.96017,0.99858
20,0.97877,0.19852
21,0.97438,0
22,0.98221,0.61086
23,0.93496,1.07005
24,0.97261,0.5004
25,0.97212,0.56234
26,0.983,0.5004
27,0.97639,0.61086
28,0.95244,0.85684
29,0.97773,0.64745
30,0.95392,0
31,0.74284,0
32,0.519,0
33,0.9716,0
34,0.96991,0.61086
35,0.98812,0.32508
36,0.97377,0.19852
37,0.97198,1.27985
38,0.98695,0.84511
39,0.96385,0.68744
40,0.96385,0.68744
