Time (s),Order,Entropy
1,0.23817,0.61086
2,0.78959,0.42271
3,0.96871,0.67301
4,0.92935,0.63903
5,0.9726,0.67301
6,0.97418,1.23535
7,0.97049,0.63903
8,0.98141,0.19852
9,0.96135,0.61086
10,0.97676,0.42271
11,0.9735,1.19219
12,0.94782,0.97457
13,0.97078,0.42271
14,0.92644,0.61086
15,0.77224,0.5004
16,0.87326,0.61287
17,0.86554,0.82372
18,0.93727,1.03972
19,0.94838,0.68744
20,0.96436,0.98194
21,0.95326,1.01041
22,0.98775,0.42271
23,0.97065,0.19852
24,0.98596,0.74603
25,0.95304,1.24878
26,0.96953,0.42271
27,0.98305,0.42271
28,0.96956,0.5004
29,0.97254,0.42271
30,0.95612,1.07005
31,0.98793,0.74603
32,0.96691,0
33,0.87969,0
34,0.70331,0
35,0.86427,0
36,0.98129,0.67301
37,0.97179,0.19852
38,0.98147,0.19852
39,0.98322,0.92651
40,0.98322,0.92651
