Time (s),Order,Entropy
1,0.3397,0.61086
2,0.91051,0.64745
3,0.91584,0.5004
4,0.97776,0.61287
5,0.96365,1.16552
6,0.96932,1.12237
7,0.94365,0.3944
8,0.98214,0.64745
9,0.95474,0.5004
10,0.98307,0.73059
11,0.97368,1.23535
12,0.9779,0.67301
13,0.97685,0.7999
14,0.75872,0.68814
15,0.77946,0.3944
16,0.89571,0.79099
17,0.92143,0.94335
18,0.94615,1.02965
19,0.94188,0.73059
20,0.96927,1.05492
21,0.97402,0.32508
22,0.9415,0.32508
23,0.97839,1.23535
24,0.95713,0.61086
25,0.99053,0.42271
26,0.95869,0.61086
27,0.96835,0.61086
28,0.96895,0.97457
29,0.96732,0.5004
30,0.95738,0
31,0.63506,0
32,0.85332,0
33,0.91438,0.32508
34,0.87292,0.5004
35,0.76512,0.32508
36,0.96988,1.33307
37,0.96823,0.92651
38,0.96823,0.92651
39,0.96823,0.92651
40,0.96823,0.92651
