Time (s),Order,Entropy
1,0.21399,0.61086
2,0.86469,0.56234
3,0.97615,0.56234
4,0.96118,0.5004
5,0.98648,1.16739
6,0.95515,1.03311
7,0.97645,0.19852
8,0.96134,0.61086
9,0.9757,0.3944
10,0.98084,0.32508
11,0.97175,1.25805
12,0.97065,0.92651
13,0.97933,0.42271
14,0.9631,0.79099
15,0.73877,0.42271
16,0.91779,0.63903
17,0.96201,0.79099
18,0.93895,1.03972
19,0.91355,0.79099
20,0.95886,0.7999
21,0.959,1.06709
22,0.97606,0.61287
23,0.98822,0.19852
24,0.96461,0.5004
25,0.98752,1.10589
26,0.95223,0.42271
27,0.97569,0.32508
28,0.97829,0.64745
29,0.98048,0.68744
30,0.97797,0.79099
31,0.98381,0.82372
32,0.95101,0.19852
33,0.85297,0
34,0.67562,0
35,0.80071,0
36,0.93468,0.61086
37,0.8888,0.42271
38,0.96158,0.3944
39,0.99309,1.13936
40,0.98029,1.14212
