Time (s),Order,Entropy
1,0.36656,0.61086
2,0.71108,0.67301
3,0.93321,0.79099
4,0.87179,0.68744
5,0.96076,1.09406
6,0.97945,1.20797
7,0.9685,0.32508
8,0.98023,0.56234
9,0.96124,0.51819
10,0.96062,0.61287
11,0.98105,1.34515
12,0.97187,0.56234
13,0.98353,0.80182
14,0.80651,0.56234
15,0.88687,0.61287
16,0.91164,0.85569
17,0.95051,1.04865
18,0.93019,0.7999
19,0.9717,0.84511
20,0.97473,0.94335
21,0.97646,0.19852
22,0.97861,0.19852
23,0.97757,1.01266
24,0.96391,0.92651
25,0.91811,0.3944
26,0.97572,0.69315
27,0.97725,0.63903
28,0.96576,0.84511
29,0.98449,0.79099
30,0.98461,0
31,0.83953,0
32,0.77675,0
33,0.95017,0
34,0.97137,0.68814
35,0.94348,0.32508
36,0.98022,0.74603
37,0.96539,1.22061
38,0.97917,0.32508
39,0.99295,0.32508
40,1.00673,0.32508
