Time (s),Order,Entropy
1,0.14317,0.19852
2,0.23863,0.19852
3,0.4018,0.19852
4,0.7126,0.42271
5,0.95002,0.5004
6,0.96513,0.5004
7,0.97053,0.61086
8,0.9781,0.64745
9,0.98044,0.69315
10,0.99495,0.68814
11,0.99572,0.64745
12,0.99305,0.61086
13,0.99771,0.63903
14,0.99725,0.63903
15,0.99741,0.63903
16,0.99555,0.51819
17,0.99606,0.51819
18,0.9963,0.51819
19,0.99638,0.87113
20,0.99674,0.91429
21,0.99599,1.0889
22,0.99467,1.20797
23,0.99795,1.20797
24,0.99683,1.34515
25,0.9959,1.34515
26,0.99723,1.35779
27,0.99612,1.31955
28,0.99686,0.98194
29,0.99838,0.92616
30,0.99708,0.87113
31,0.99865,0.5004
32,0.99582,0.42271
33,0.9975,0.42271
34,0.99733,0.61287
35,0.99636,0.51819
36,0.99708,0.68744
37,0.99642,0.68744
38,0.99743,0.56234
39,0.99642,0.61086
40,0.99715,0.67301
41,0.9975,0.67301
42,0.99562,0.64745
43,0.99794,0.42271
44,0.99745,0.42271
45,0.9972,0.32508
46,0.99746,0
47,0.99748,0.19852
48,0.99553,0.19852
49,0.99562,0.19852
50,0.99625,0.61287
51,0.99758,0.82607
52,0.99639,0.91429
53,0.99838,1.06274
54,0.99756,1.16552
55,0.99671,1.30401
56,0.99712,1.31955
57,0.99657,1.28992
58,0.99712,1.22407
59,0.99419,1.09406
60,0.99598,1.10589
61,0.9956,0.92651
62,0.99641,0.96726
63,0.9956,0.61086
64,0.9969,0.56234
65,0.99541,0.74603
66,0.99755,0.85684
67,0.99428,0.99893
68,0.99734,0.91429
69,0.99686,0.89795
70,0.99612,0.94335
71,0.99346,0.85569
72,0.99747,0.82372
73,0.99783,0.61086
74,0.99617,0.5004
75,0.99429,0.42271
76,0.99748,0.32508
77,0.995,0.32508
78,0.99487,0
79,0.99625,0
80,0.99541,0
81,0.99758,0.32508
82,0.99828,0.61287
83,0.99869,0.68744
84,0.99705,0.74603
85,0.99627,1.01266
86,0.99679,1.10589
87,0.99824,1.23535
88,0.99775,1.16482
89,0.99871,1.06274
90,0.99835,0.98194
91,0.99549,1.03311
92,0.99828,0.92651
93,0.99731,0.64745
94,0.99567,0.67301
95,0.99714,0.68814
96,0.99604,0.94335
97,0.99494,0.94335
98,0.99845,1.16828
99,0.99927,1.23535
100,0.99824,1.27985
101,0.9995,1.24878
102,0.99605,1.09406
103,0.99799,1.03311
104,0.99744,0.98194
105,0.99841,0.80182
106,0.99807,0.73059
107,0.99868,0.51819
108,0.99788,0.32508
109,0.99867,0
110,0.99842,0
111,0.99866,0
112,0.99766,0.32508
113,0.99798,0.42271
114,0.99844,0.56234
115,0.99594,0.61086
116,0.9957,0.67301
117,0.99701,0.68814
118,0.99788,0.64745
119,0.99642,0.79099
120,0.9984,0.85684
121,0.99592,0.91429
122,0.99883,0.85684
123,0.99793,0.85684
124,0.99814,0.74603
125,0.99846,0.61086
126,0.99651,0.61086
127,0.99834,0.82372
128,0.99688,0.94335
129,0.99739,1.24878
130,0.99724,1.27504
131,0.99566,1.30546
132,0.99721,1.30546
133,0.99804,1.20226
134,0.9981,1.20226
135,0.99469,0.98194
136,0.99699,0.82607
137,0.99784,0.73059
138,0.9958,0.63903
139,0.998,0.51819
140,0.99494,0.19852
141,0.99663,0.19852
142,0.99716,0
143,0.9971,0.32508
144,0.99761,0.32508
145,0.99416,0.56234
146,0.99756,0.61086
147,0.99604,0.67301
148,0.9969,0.68814
149,0.99657,0.64745
150,0.99746,0.61086
151,0.99649,0.56234
152,0.99594,0.42271
153,0.9975,0.32508
154,0.99227,0.32508
155,0.90207,0.19852
156,0.89374,0
157,0.69254,0
158,0.65856,0
159,0.42297,0
160,0.25703,0.19852
161,0.30206,0.32508
162,0.59989,0.42271
163,0.64024,0.32508
164,0.66921,0.19852
165,0.62995,0.19852
166,0.63276,0
167,0.66423,0
168,0.70656,0
169,0.70656,0
