Time (s),Order,Entropy
1,0.11619,0.5004
2,0.10199,0.32508
3,0.30623,0.42271
4,0.55135,0.5004
5,0.83083,0.5004
6,0.88558,0.5004
7,0.93149,0.56234
8,0.95303,0.56234
9,0.95966,0.64745
10,0.96367,0.67301
11,0.95573,0.69315
12,0.96217,0.67301
13,0.97132,0.64745
14,0.96614,0.64745
15,0.97052,0.56234
16,0.98979,0.61287
17,0.99607,0.91429
18,0.99576,0.7999
19,0.99651,0.87113
20,0.99586,0.7999
21,0.99824,0.91429
22,0.99675,0.91429
23,0.99782,0.91429
24,0.99612,1.10589
25,0.99733,1.28992
26,0.99611,1.35353
27,0.99657,1.35353
28,0.99727,1.31955
29,0.99674,1.2376
30,0.99577,1.12237
31,0.99727,1.06274
32,0.99744,0.91429
33,0.99802,0.7999
34,0.99489,0.70835
35,0.99797,0.3944
36,0.99869,0.61287
37,0.99716,0.61287
38,0.99808,0.42271
39,0.99786,0.5004
40,0.99739,0.64745
41,0.99855,0.67301
42,0.9968,0.67301
43,0.99771,0.67301
44,0.99839,0.61086
45,0.99724,0.56234
46,0.99844,0.5004
47,0.99799,0.42271
48,0.99902,0.51819
49,0.99748,0.19852
50,0.99836,0.19852
51,0.998,0.63903
52,0.99778,0.81881
53,0.99843,0.88646
54,0.99722,1.06274
55,0.99771,1.14212
56,0.99748,1.23535
57,0.99688,1.27985
58,0.99852,1.29684
59,0.99648,1.30546
60,0.99698,1.24878
61,0.9977,1.24878
62,0.99477,1.10589
63,0.9969,0.99582
64,0.99447,0.99582
65,0.99593,0.82372
66,0.99575,0.89795
67,0.99746,0.85684
68,0.99722,0.81881
69,0.99796,0.88646
70,0.99726,0.97457
71,0.99708,0.92651
72,0.99695,0.94335
73,0.99743,0.94335
74,0.99697,0.82372
75,0.99486,0.64745
76,0.99754,0.56234
77,0.99823,0.32508
78,0.99711,0.32508
79,0.9985,0.19852
80,0.99679,0.19852
81,0.99586,0.19852
82,0.9963,0.32508
83,0.99781,0.32508
84,0.99789,0.42271
85,0.99755,0.74603
86,0.9979,0.79099
87,0.99783,0.82372
88,0.99572,1.09406
89,0.99721,1.16112
90,0.99044,1.16112
91,0.99763,0.99893
92,0.99595,0.80182
93,0.9971,0.92651
94,0.99176,0.82372
95,0.99687,0.67301
96,0.99616,0.85569
97,0.99415,0.85569
98,0.99701,0.99582
99,0.99539,0.99582
100,0.99712,1.19219
101,0.99635,1.19219
102,0.99701,1.19219
103,0.99702,1.18728
104,0.99729,1.07005
105,0.99853,0.89795
106,0.99624,0.79099
107,0.99772,0.51819
108,0.99458,0.51819
109,0.99647,0.51819
110,0.99817,0.19852
111,0.99514,0
112,0.99665,0.19852
113,0.99817,0.19852
114,0.99586,0.32508
115,0.9977,0.42271
116,0.99532,0.56234
117,0.99573,0.74603
118,0.9956,0.82372
119,0.99694,0.85569
120,0.99682,0.82372
121,0.99841,0.79099
122,0.99836,0.85684
123,0.99719,0.80182
124,0.99551,0.80182
125,0.99665,0.80182
126,0.99719,0.64745
127,0.99735,0.64745
128,0.9957,0.82372
129,0.99681,0.84511
130,0.99324,1.01266
131,0.99833,1.07005
132,0.99806,1.23535
133,0.99378,1.28992
134,0.99662,1.24878
135,0.99783,1.20797
136,0.99802,1.16552
137,0.9966,1.10974
138,0.99708,0.63903
139,0.99636,0.51819
140,0.99447,0.51819
141,0.99746,0.3944
142,0.99703,0.19852
143,0.99769,0.19852
144,0.99742,0.3944
145,0.99751,0.19852
146,0.99648,0.32508
147,0.99815,0.56234
148,0.99668,0.56234
149,0.99645,0.64745
150,0.99543,0.68814
151,0.99682,0.64745
152,0.99777,0.64745
153,0.998,0.56234
154,0.99639,0.32508
155,0.99814,0.32508
156,0.99658,0.32508
157,0.90283,0.19852
158,0.82538,0
159,0.71664,0.19852
160,0.60282,0.19852
161,0.3288,0.19852
162,0.52525,0.19852
163,0.60849,0.32508
164,0.63513,0.42271
165,0.36483,0.42271
166,0.52867,0.32508
167,0.4816,0.32508
168,0.49117,0
169,0.47091,0
