Time (s),Order,Entropy
1,0.33921,0.42271
2,0.34839,0.32508
3,0.46056,0.19852
4,0.62686,0.19852
5,0.85577,0.19852
6,0.91565,0.32508
7,0.93562,0.42271
8,0.95275,0.42271
9,0.9873,0.56234
10,0.9942,0.61086
11,0.99595,0.61086
12,0.99829,0.64745
13,0.99666,0.68814
14,0.99802,0.67301
15,0.99786,0.74603
16,0.99608,0.68744
17,0.99674,0.73059
18,0.99589,0.51819
19,0.9957,0.70835
20,0.99479,0.51819
21,0.99592,0.61287
22,0.99524,0.79099
23,0.99526,0.92651
24,0.99751,1.10589
25,0.99658,1.16112
26,0.99655,1.27985
27,0.99546,1.27985
28,0.99649,1.36616
29,0.99732,1.28767
30,0.99747,1.2376
31,0.99549,1.12237
32,0.995,0.91429
33,0.99756,0.70835
34,0.99832,0.70835
35,0.99753,0.61287
36,0.99819,0.61287
37,0.99677,0.3944
38,0.99514,0.3944
39,0.99724,0.51819
40,0.99691,0.68744
41,0.99638,0.61086
42,0.99869,0.61086
43,0.99583,0.67301
44,0.99638,0.67301
45,0.99766,0.64745
46,0.99896,0.64745
47,0.9969,0.5004
48,0.99609,0.61287
49,0.9975,0.51819
50,0.99634,0.3944
51,0.99655,0.51819
52,0.99571,0.51819
53,0.99463,0.61287
54,0.99484,0.87113
55,0.99637,1.06274
56,0.99865,1.16552
57,0.99701,1.28767
58,0.99758,1.33218
59,0.99644,1.35353
60,0.99787,1.34515
61,0.99645,1.29684
62,0.99662,1.23535
63,0.99781,1.07005
64,0.99616,1.03311
65,0.99591,0.89795
66,0.9984,0.68744
67,0.99791,0.68744
68,0.99776,0.61287
69,0.99706,0.61287
70,0.99771,0.73059
71,0.99639,0.93764
72,0.99595,0.89795
73,0.99784,0.82372
74,0.99803,0.85569
75,0.99783,0.67301
76,0.9983,0.64745
77,0.99822,0.61086
78,0.99873,0.42271
79,0.99834,0.42271
80,0.9981,0.32508
81,0.99728,0.19852
82,0.99865,0.19852
83,0.99648,0.3944
84,0.99746,0.3944
85,0.99754,0.51819
86,0.99877,0.87113
87,0.99853,0.87113
88,0.99832,1.1359
89,0.99521,1.23535
90,0.99777,1.23535
91,0.99822,1.28992
92,0.99709,1.28992
93,0.99701,1.09406
94,0.9965,1.09406
95,0.9963,1.01823
96,0.99776,1.01266
97,0.99756,0.84511
98,0.99805,0.82372
99,0.99816,0.82372
100,0.9967,0.89795
101,0.99693,0.99727
102,0.99753,0.99727
103,0.99662,1.14212
104,0.99843,1.07005
105,0.99839,1.10589
106,0.99659,0.89795
107,0.99843,0.96726
108,0.99869,0.87113
109,0.99847,0.61287
110,0.99696,0.42271
111,0.99663,0.32508
112,0.99889,0.19852
113,0.99754,0.19852
114,0.99496,0.19852
115,0.99741,0.32508
116,0.99821,0.32508
117,0.99671,0.56234
118,0.99593,0.56234
119,0.99721,0.79099
120,0.99902,0.84511
121,0.99801,0.85569
122,0.99703,0.92651
123,0.99814,1.14212
124,0.99566,1.06274
125,0.9958,0.98194
126,0.99902,0.87113
127,0.99792,0.74603
128,0.99777,0.79099
129,0.99652,0.82372
130,0.99721,0.82372
131,0.99896,0.94892
132,0.99716,1.01041
133,0.99813,1.20563
134,0.99733,1.28992
135,0.99639,1.22407
136,0.99741,1.28702
137,0.99453,1.20797
138,0.99685,1.14212
139,0.99801,0.92616
140,0.99629,0.70835
141,0.99824,0.63903
142,0.99645,0.63903
143,0.99623,0.51819
144,0.99745,0.3944
145,0.99829,0.3944
146,0.99867,0.32508
147,0.99607,0.32508
148,0.99682,0.42271
149,0.99602,0.56234
150,0.99883,0.64745
151,0.99793,0.67301
152,0.99868,0.69315
153,0.99727,0.64745
154,0.99816,0.61086
155,0.99815,0.61086
156,0.89933,0.42271
157,0.9,0.32508
158,0.89974,0.19852
159,0.80761,0
160,0.72987,0
161,0.71951,0
162,0.55178,0.32508
163,0.40489,0.32508
164,0.45198,0.19852
165,0.54487,0.19852
166,0.60652,0.19852
167,0.58743,0
168,0.62198,0
169,0.66545,0
