Time (s),Order,Entropy
1,0.17922,0.32508
2,0.15185,0.32508
3,0.31917,0.42271
4,0.57672,0.5004
5,0.8725,0.56234
6,0.9097,0.56234
7,0.92706,0.56234
8,0.93903,0.64745
9,0.95293,0.67301
10,0.95873,0.69315
11,0.97303,0.67301
12,0.98091,0.67301
13,0.97996,0.56234
14,0.95541,0.56234
15,0.93225,0.51819
16,0.9345,0.51819
17,0.93785,0.63903
18,0.95536,0.63903
19,0.9415,0.70835
20,0.94909,0.87113
21,0.9652,0.87113
22,0.99624,0.98194
23,0.9963,1.2376
24,0.99704,1.2376
25,0.99766,1.28767
26,0.99778,1.33509
27,0.99302,1.35779
28,0.99602,1.31955
29,0.99661,1.22061
30,0.99207,1.0889
31,0.99656,0.98194
32,0.99453,0.98194
33,0.9955,0.87113
34,0.99587,0.68744
35,0.99785,0.51819
36,0.99677,0.51819
37,0.9946,0.51819
38,0.99146,0.74603
39,0.99631,0.82372
40,0.99858,0.82372
41,0.99834,0.85569
42,0.99711,0.64745
43,0.9988,0.64745
44,0.99735,0.5004
45,0.99802,0.5004
46,0.99828,0.42271
47,0.9986,0.32508
48,0.99745,0.3944
49,0.9968,0.19852
50,0.99736,0.3944
51,0.99692,0.5875
52,0.99571,0.7999
53,0.9954,0.98194
54,0.99627,1.16552
55,0.99595,1.20797
56,0.99704,1.30401
57,0.99625,1.33509
58,0.99681,1.27985
59,0.99739,1.16112
60,0.99535,1.09406
61,0.99807,1.09406
62,0.99771,0.82372
63,0.99684,0.82372
64,0.9987,0.61086
65,0.99743,0.56234
66,0.99796,0.74603
67,0.99849,0.80182
68,0.99647,0.73059
69,0.99775,0.73059
70,0.99349,0.92616
71,0.99681,1.01823
72,0.99579,1.01823
73,0.99763,0.92651
74,0.99601,0.68744
75,0.99772,0.68744
76,0.99693,0.42271
77,0.99582,0.32508
78,0.99567,0.19852
79,0.99672,0.19852
80,0.99758,0
81,0.9979,0
82,0.99677,0.3944
83,0.99363,0.5875
84,0.99522,0.91429
85,0.99522,0.98194
86,0.99485,1.16739
87,0.99591,1.19355
88,0.99639,1.20797
89,0.99506,1.10589
90,0.99855,1.10974
91,0.99624,1.14212
92,0.99644,1.09406
93,0.9982,0.85569
94,0.99682,0.85569
95,0.9974,0.67301
96,0.99667,0.67301
97,0.99579,0.84511
98,0.99696,0.82372
99,0.99737,1.10974
100,0.99803,1.10974
101,0.99871,1.03311
102,0.99704,1.10589
103,0.99778,1.10589
104,0.99483,1.10589
105,0.99749,0.88646
106,0.99268,0.80182
107,0.99778,0.61287
108,0.99509,0.51819
109,0.99659,0.19852
110,0.99747,0.19852
111,0.99789,0
112,0.99819,0
113,0.99487,0.19852
114,0.99778,0.42271
115,0.99803,0.5004
116,0.99701,0.56234
117,0.99607,0.64745
118,0.998,0.94335
119,0.9968,0.94892
120,0.99655,0.94335
121,0.99725,0.85684
122,0.99793,0.73059
123,0.99792,0.81881
124,0.99625,0.87113
125,0.99553,0.74603
126,0.99826,0.61086
127,0.99677,0.64745
128,0.99632,0.67301
129,0.99509,0.82372
130,0.99809,1.19355
131,0.99773,1.16828
132,0.99713,1.25805
133,0.99737,1.31955
134,0.99789,1.27985
135,0.99656,1.29684
136,0.99832,1.20797
137,0.99863,1.12237
138,0.99818,0.81881
139,0.99904,0.73059
140,0.99748,0.51819
141,0.9987,0.51819
142,0.99608,0.19852
143,0.99516,0.19852
144,0.99554,0.19852
145,0.99261,0.32508
146,0.9964,0.42271
147,0.99499,0.5004
148,0.99675,0.61086
149,0.99632,0.67301
150,0.99324,0.69315
151,0.99692,0.67301
152,0.99692,0.56234
153,0.99633,0.56234
154,0.99711,0.42271
155,0.99631,0.42271
156,0.96597,0.19852
157,0.89605,0.19852
158,0.80167,0
159,0.72354,0
160,0.49747,0
161,0.39727,0
162,0.34482,0
163,0.22292,0
164,0.61835,0.5004
165,0.56263,0.5004
166,0.65137,0.32508
167,0.71261,0.19852
168,0.72382,0.19852
169,0.78714,0
