Time (s),Order,Entropy
1,0.08343,0.32508
2,0.06921,0.32508
3,0.07996,0.32508
4,0.39607,0.32508
5,0.81129,0.32508
6,0.83031,0.42271
7,0.86219,0.5004
8,0.89563,0.5004
9,0.90326,0.5004
10,0.86898,0.56234
11,0.92415,0.67301
12,0.93354,0.67301
13,0.9221,0.69315
14,0.908,0.69315
15,0.9529,0.67301
16,0.91855,0.87113
17,0.98592,0.80182
18,0.99649,0.81881
19,0.99454,0.61287
20,0.99718,0.68744
21,0.9969,0.68744
22,0.99768,0.5004
23,0.9975,0.92616
24,0.99764,0.92616
25,0.99688,1.07005
26,0.998,1.25805
27,0.99483,1.33509
28,0.99734,1.33509
29,0.99436,1.37623
30,0.99736,1.34515
31,0.99619,1.31955
32,0.99843,1.10974
33,0.99779,0.98194
34,0.99759,0.98194
35,0.99835,0.68744
36,0.99842,0.42271
37,0.99668,0.32508
38,0.99834,0.51819
39,0.99558,0.63903
40,0.9985,0.51819
41,0.99819,0.61287
42,0.9973,0.64745
43,0.99708,0.64745
44,0.99827,0.68814
45,0.99727,0.68814
46,0.9981,0.67301
47,0.99764,0.56234
48,0.99786,0.42271
49,0.9963,0.61287
50,0.99652,0.51819
51,0.99771,0.32508
52,0.99749,0.42271
53,0.99861,0.5004
54,0.99872,0.80182
55,0.99719,0.87113
56,0.99594,0.87113
57,0.99825,1.22061
58,0.99783,1.28992
59,0.99512,1.31955
60,0.99614,1.35779
61,0.99443,1.35779
62,0.99703,1.35779
63,0.99798,1.18728
64,0.99726,1.09406
65,0.99432,1.09406
66,0.99608,0.74603
67,0.99845,0.56234
68,0.99658,0.5004
69,0.99834,0.73059
70,0.99522,0.63903
71,0.99127,0.63903
72,0.99747,0.85684
73,0.99739,0.96726
74,0.99582,0.96726
75,0.99843,0.84511
76,0.99693,0.68814
77,0.9948,0.68814
78,0.99557,0.64745
79,0.99616,0.42271
80,0.9967,0.42271
81,0.99867,0.32508
82,0.99842,0.19852
83,0.9972,0
84,0.99746,0.3944
85,0.99721,0.63903
86,0.99699,0.63903
87,0.9968,0.73059
88,0.99822,1.10974
89,0.9978,1.14212
90,0.99698,1.20797
91,0.99667,1.24878
92,0.99825,1.31955
93,0.99789,1.34515
94,0.99707,1.24878
95,0.99747,1.09406
96,0.99779,1.01266
97,0.99828,0.84511
98,0.99791,0.67301
99,0.99875,0.64745
100,0.99588,0.89795
101,0.99569,0.85684
102,0.99658,0.80182
103,0.99725,0.91429
104,0.9973,1.07005
105,0.99848,0.96726
106,0.99644,1.01266
107,0.99602,0.99582
108,0.99725,0.84511
109,0.99405,0.79099
110,0.99707,0.42271
111,0.99771,0.42271
112,0.99757,0.32508
113,0.99614,0
114,0.99686,0
115,0.99719,0
116,0.99801,0.32508
117,0.9982,0.32508
118,0.99847,0.5004
119,0.99705,0.61086
120,0.99704,0.92651
121,0.99485,1.09406
122,0.99664,1.09406
123,0.99707,1.16112
124,0.99691,1.16112
125,0.99763,0.91429
126,0.99651,0.98194
127,0.99895,0.94335
128,0.9982,0.85569
129,0.99706,0.69315
130,0.99638,0.69315
131,0.9973,0.69315
132,0.99851,0.85569
133,0.99846,1.09406
134,0.99834,1.20226
135,0.99761,1.16482
136,0.99842,1.14212
137,0.99732,1.10589
138,0.99771,1.09406
139,0.9976,1.09406
140,0.99646,0.93764
141,0.9967,0.63903
142,0.99776,0.51819
143,0.99708,0.51819
144,0.99702,0.19852
145,0.99553,0.19852
146,0.99785,0
147,0.99696,0.19852
148,0.99693,0.19852
149,0.99825,0.42271
150,0.99798,0.56234
151,0.9979,0.61086
152,0.99719,0.67301
153,0.99219,0.67301
154,0.99036,0.67301
155,0.99,0.64745
156,0.99609,0.42271
157,0.9961,0.32508
158,0.99548,0.32508
159,0.98622,0.19852
160,0.80366,0.19852
161,0.82947,0.19852
162,0.59307,0.19852
163,0.61348,0.32508
164,0.56026,0.19852
165,0.61102,0.19852
166,0.64983,0.19852
167,0.5536,0
168,0.51216,0
169,0.50676,0
