Time (s),Order,Entropy
1,0.21753,0.5004
2,0.15586,0.42271
3,0.20554,0.32508
4,0.53166,0.32508
5,0.78198,0.32508
6,0.83612,0.19852
7,0.8947,0.19852
8,0.94028,0.32508
9,0.96817,0.42271
10,0.96039,0.5004
11,0.96585,0.64745
12,0.97427,0.67301
13,0.95215,0.69315
14,0.97225,0.84511
15,0.96135,0.89795
16,0.98805,0.88646
17,0.99383,0.88646
18,0.99268,0.80182
19,0.99623,0.74603
20,0.99281,0.56234
21,0.99229,0.56234
22,0.99827,0.56234
23,0.99663,0.79099
24,0.99749,0.85569
25,0.9966,1.10589
26,0.99731,1.23535
27,0.99731,1.20797
28,0.99596,1.33509
29,0.99553,1.27985
30,0.99745,1.20797
31,0.99584,1.16552
32,0.99699,0.95027
33,0.99767,0.88646
34,0.99783,0.73059
35,0.99624,0.73059
36,0.99769,0.19852
37,0.99672,0
38,0.99678,0
39,0.99589,0.19852
40,0.99431,0.5004
41,0.99425,0.56234
42,0.99633,0.56234
43,0.99563,0.67301
44,0.99779,0.68814
45,0.99665,0.67301
46,0.99462,0.61086
47,0.99447,0.56234
48,0.99355,0.42271
49,0.99672,0.61287
50,0.99658,0.51819
51,0.99675,0.61287
52,0.9979,0.5004
53,0.99836,0.5004
54,0.99411,0.74603
55,0.99768,0.93764
56,0.99819,1.03311
57,0.99835,1.18251
58,0.9977,1.31955
59,0.99895,1.35353
60,0.99763,1.35779
61,0.99674,1.31955
62,0.99786,1.23535
63,0.99722,1.1359
64,0.99683,1.07005
65,0.99607,0.82372
66,0.99717,0.82372
67,0.99637,0.42271
68,0.99817,0.42271
69,0.99728,0.61287
70,0.99854,0.70835
71,0.99541,0.73059
72,0.99731,0.80182
73,0.9959,0.92651
74,0.99252,0.92651
75,0.99782,0.69315
76,0.99756,0.64745
77,0.99768,0.56234
78,0.996,0.56234
79,0.99714,0.42271
80,0.99649,0.32508
81,0.99792,0.19852
82,0.9975,0
83,0.99711,0
84,0.99891,0.19852
85,0.99708,0.51819
86,0.99782,0.73059
87,0.99816,0.88646
88,0.99755,0.97457
89,0.99709,1.14212
90,0.99811,1.16112
91,0.99809,1.19219
92,0.9941,1.25805
93,0.99668,1.16552
94,0.99833,1.1359
95,0.99557,1.01266
96,0.99512,0.85569
97,0.99687,0.68814
98,0.99593,0.68814
99,0.99583,0.64745
100,0.99784,0.79099
101,0.99729,0.79099
102,0.99714,0.98194
103,0.99863,1.10974
104,0.99788,1.10974
105,0.99678,1.07005
106,0.99733,1.07005
107,0.99862,1.07005
108,0.99888,0.92616
109,0.99874,0.68744
110,0.99743,0.61287
111,0.99724,0.32508
112,0.9985,0.19852
113,0.99739,0
114,0.99637,0
115,0.99665,0.19852
116,0.99944,0.19852
117,0.99842,0.19852
118,0.99714,0.61086
119,0.99606,0.61086
120,0.99763,0.79099
121,0.99758,0.84511
122,0.99836,0.82372
123,0.99491,1.07005
124,0.99852,1.0889
125,0.99513,0.91429
126,0.99579,0.91429
127,0.99704,0.87113
128,0.99718,0.64745
129,0.99675,0.64745
130,0.99647,0.82372
131,0.99771,0.82372
132,0.99737,0.85569
133,0.99623,1.10589
134,0.99811,1.23535
135,0.99866,1.27504
136,0.99821,1.28992
137,0.99672,1.18728
138,0.99882,1.16828
139,0.99682,1.14212
140,0.99788,0.91429
141,0.99727,0.82607
142,0.99636,0.82607
143,0.99807,0.63903
144,0.99645,0.19852
145,0.99814,0.19852
146,0.99745,0.19852
147,0.99714,0.19852
148,0.99688,0.19852
149,0.99791,0.42271
150,0.99787,0.56234
151,0.99614,0.61086
152,0.99677,0.67301
153,0.99611,0.69315
154,0.99729,0.67301
155,0.99713,0.61086
156,0.99623,0.5004
157,0.99371,0.42271
158,0.99619,0.42271
159,0.99387,0.19852
160,0.92154,0
161,0.76946,0
162,0.70206,0
163,0.51514,0.19852
164,0.52039,0.32508
165,0.51867,0.32508
166,0.26606,0.32508
167,0.61921,0.32508
168,0.64189,0.32508
169,0.57253,0.19852
