Time (s),Order,Entropy
1,0.08934,0.5004
2,0.12624,0.42271
3,0.22712,0.32508
4,0.52681,0.19852
5,0.86812,0.42271
6,0.90854,0.42271
7,0.91276,0.42271
8,0.94312,0.64745
9,0.94094,0.67301
10,0.90767,0.68814
11,0.93609,0.68814
12,0.92944,0.67301
13,0.9379,0.61086
14,0.99347,0.61086
15,0.99649,0.5004
16,0.99674,0.32508
17,0.99792,0.51819
18,0.99775,0.3944
19,0.99575,0.19852
20,0.9972,0.42271
21,0.99748,0.51819
22,0.99487,0.7999
23,0.99624,0.87113
24,0.997,1.2376
25,0.99642,1.2376
26,0.99761,1.27504
27,0.99858,1.35353
28,0.99784,1.30546
29,0.99858,1.20563
30,0.99776,1.16112
31,0.99635,1.09406
32,0.99777,0.74603
33,0.9962,0.74603
34,0.99853,0.61086
35,0.99663,0.56234
36,0.99821,0.74603
37,0.99695,0.73059
38,0.99773,0.63903
39,0.99758,0.89795
40,0.99848,0.92651
41,0.99808,0.84511
42,0.99759,0.85569
43,0.99735,0.79099
44,0.99844,0.56234
45,0.9978,0.56234
46,0.9964,0.5004
47,0.99693,0.19852
48,0.99732,0.19852
49,0.99844,0.19852
50,0.99735,0.19852
51,0.9972,0.19852
52,0.99804,0.3944
53,0.99712,0.61287
54,0.99834,0.61287
55,0.99813,1.07005
56,0.99634,1.16112
57,0.99796,1.18728
58,0.99524,1.06274
59,0.99589,1.12237
60,0.99559,1.19219
61,0.99508,0.99858
62,0.99495,0.84511
63,0.99621,0.85569
64,0.99742,0.85569
65,0.99712,0.69315
66,0.9963,0.85569
67,0.99768,0.85569
68,0.99652,0.99858
69,0.99723,0.99858
70,0.99541,1.12237
71,0.99034,1.19219
72,0.98443,1.19219
73,0.9956,1.18728
74,0.99525,0.98194
75,0.99485,0.80182
76,0.99587,0.73059
77,0.99648,0.51819
78,0.99684,0.19852
79,0.99666,0.19852
80,0.99662,0.19852
81,0.99789,0.19852
82,0.99702,0.19852
83,0.99438,0.32508
84,0.99284,0.42271
85,0.99602,0.68744
86,0.99692,0.92651
87,0.99643,1.01266
88,0.99624,1.01266
89,0.99359,0.92616
90,0.99701,0.88646
91,0.9957,0.99893
92,0.99787,0.91429
93,0.99838,0.79099
94,0.99552,0.61086
95,0.99783,0.64745
96,0.99585,0.67301
97,0.99555,0.84511
98,0.99525,0.85569
99,0.99767,1.01266
100,0.99806,1.07005
101,0.99881,1.25805
102,0.9981,1.24878
103,0.99647,1.24878
104,0.9977,1.20797
105,0.99653,1.12237
106,0.99598,0.88646
107,0.99645,0.81881
108,0.99774,0.63903
109,0.99317,0.3944
110,0.9962,0.3944
111,0.99584,0.19852
112,0.99544,0.19852
113,0.99643,0.3944
114,0.99836,0.32508
115,0.99799,0.42271
116,0.99681,0.56234
117,0.99715,0.64745
118,0.99508,0.67301
119,0.99679,0.67301
120,0.99711,0.79099
121,0.99674,0.79099
122,0.99746,0.68744
123,0.99898,0.63903
124,0.99846,0.73059
125,0.99742,0.61287
126,0.99587,0.56234
127,0.99599,0.56234
128,0.99616,0.79099
129,0.99464,0.82372
130,0.9975,0.96726
131,0.99765,1.07005
132,0.99506,1.29684
133,0.99645,1.33509
134,0.99548,1.33509
135,0.99838,1.22061
136,0.99822,1.22061
137,0.99407,1.16482
138,0.99886,0.88646
139,0.99806,0.63903
140,0.9979,0.63903
141,0.99591,0.3944
142,0.99849,0.19852
143,0.99745,0.19852
144,0.99626,0.19852
145,0.99794,0.19852
146,0.99795,0.32508
147,0.99786,0.5004
148,0.99831,0.61086
149,0.99631,0.61086
150,0.99485,0.68814
151,0.99496,0.64745
152,0.99608,0.61086
153,0.99561,0.61086
154,0.99823,0.32508
155,0.99595,0.32508
156,0.99518,0.32508
157,0.99508,0.19852
158,0.97954,0
159,0.69569,0
160,0.5903,0
161,0.52495,0.19852
162,0.41741,0.19852
163,0.36833,0.19852
164,0.62847,0
165,0.67059,0
166,0.63728,0
167,0.72687,0
168,0.71535,0
169,0.71241,0
