Time (s),Order,Entropy
1,0.06389,0.42271
2,0.11183,0.42271
3,0.21079,0.5004
4,0.51127,0.42271
5,0.76045,0.42271
6,0.86432,0.42271
7,0.92196,0.42271
8,0.94923,0.5004
9,0.96421,0.56234
10,0.96921,0.61086
11,0.98202,0.68814
12,0.99639,0.85569
13,0.99628,0.82372
14,0.99415,0.79099
15,0.99752,0.61287
16,0.99485,0.63903
17,0.99767,0.73059
18,0.99308,0.42271
19,0.99649,0.5004
20,0.99789,0.61086
21,0.99762,0.67301
22,0.9958,0.67301
23,0.99718,0.82372
24,0.99769,1.16828
25,0.99578,1.24878
26,0.9977,1.34515
27,0.99638,1.38629
28,0.99689,1.31955
29,0.99486,1.2376
30,0.99765,1.16552
31,0.99795,0.87113
32,0.99475,0.87113
33,0.99725,0.73059
34,0.99655,0.42271
35,0.9958,0.32508
36,0.99645,0.32508
37,0.99626,0.51819
38,0.99748,0.51819
39,0.99578,0.61287
40,0.9959,0.61086
41,0.99745,0.64745
42,0.99676,0.67301
43,0.9975,0.64745
44,0.99586,0.61086
45,0.99669,0.56234
46,0.99653,0.42271
47,0.99756,0.32508
48,0.99704,0.32508
49,0.99784,0.32508
50,0.99755,0.32508
51,0.99547,0.32508
52,0.99656,0.51819
53,0.99535,0.51819
54,0.99842,0.82607
55,0.99846,1.02509
56,0.99736,1.20797
57,0.99748,1.27504
58,0.99784,1.30546
59,0.99738,1.30546
60,0.9976,1.27985
61,0.99626,1.16112
62,0.99766,1.01266
63,0.99826,0.99582
64,0.99739,0.96726
65,0.99875,0.64745
66,0.99676,0.64745
67,0.99633,0.61086
68,0.9963,0.74603
69,0.99625,0.73059
70,0.99823,0.80182
71,0.99547,0.85684
72,0.99431,0.92651
73,0.99634,0.94335
74,0.99813,0.99582
75,0.99734,0.96726
76,0.99618,0.68744
77,0.99551,0.42271
78,0.9958,0.32508
79,0.99704,0.32508
80,0.99768,0
81,0.99517,0
82,0.99915,0
83,0.99558,0.3944
84,0.99485,0.3944
85,0.99598,0.68744
86,0.99842,0.87113
87,0.99692,1.10974
88,0.99773,1.16112
89,0.99753,1.16828
90,0.99529,1.19219
91,0.99561,1.12237
92,0.99603,1.12237
93,0.9958,0.96726
94,0.99667,0.82372
95,0.99464,0.68814
96,0.9959,0.69315
97,0.99663,0.67301
98,0.99695,0.84511
99,0.99736,0.84511
100,0.99706,0.89795
101,0.99544,1.02965
102,0.99597,1.03972
103,0.99758,1.10974
104,0.99823,1.10589
105,0.99456,0.89795
106,0.99613,0.96726
107,0.99815,0.87113
108,0.99859,0.5875
109,0.99749,0.51819
110,0.998,0.19852
111,0.99653,0
112,0.99761,0
113,0.99719,0
114,0.9963,0.19852
115,0.99601,0.32508
116,0.99749,0.42271
117,0.99735,0.56234
118,0.99243,0.61086
119,0.99856,0.99582
120,0.99614,0.99582
121,0.99695,0.99582
122,0.99723,1.14212
123,0.99683,1.06274
124,0.994,0.80182
125,0.99852,0.80182
126,0.99766,0.68744
127,0.99805,0.61086
128,0.99775,0.64745
129,0.99614,0.84511
130,0.99332,0.84511
131,0.99628,0.94335
132,0.99637,1.16828
133,0.99862,1.19219
134,0.99728,1.19219
135,0.99631,1.28702
136,0.99707,1.20797
137,0.99793,1.16828
138,0.99868,1.14212
139,0.99895,0.7999
140,0.9983,0.5875
141,0.99709,0.51819
142,0.99898,0.19852
143,0.99858,0.19852
144,0.9983,0.19852
145,0.99821,0.19852
146,0.99757,0.19852
147,0.99892,0.32508
148,0.99817,0.56234
149,0.99748,0.56234
150,0.99644,0.61086
151,0.99747,0.69315
152,0.99765,0.67301
153,0.99789,0.67301
154,0.99783,0.61086
155,0.99711,0.32508
156,0.99587,0.32508
157,0.99639,0.32508
158,0.80742,0.19852
159,0.79814,0
160,0.71925,0
161,0.61922,0.32508
162,0.52224,0.32508
163,0.43169,0.32508
164,0.34996,0.32508
165,0.52756,0.32508
166,0.67678,0.32508
167,0.67717,0.32508
168,0.71976,0.19852
169,0.71602,0
