Time (s),Order,Entropy
1,0.18275,0.56234
2,0.20362,0.5004
3,0.36154,0.5004
4,0.52859,0.5004
5,0.68676,0.5004
6,0.77713,0.56234
7,0.81151,0.61086
8,0.86021,0.64745
9,0.88676,0.64745
10,0.89058,0.68814
11,0.88382,0.64745
12,0.90755,0.64745
13,0.94225,0.56234
14,0.96206,0.56234
15,0.9537,0.42271
16,0.93735,0.51819
17,0.92769,0.70835
18,0.92741,0.61287
19,0.92895,0.42271
20,0.92399,0.42271
21,0.9626,0.42271
22,0.9822,0.68744
23,0.98463,1.07005
24,0.98001,1.09406
25,0.98692,1.16828
26,0.97945,1.31955
27,0.9841,1.34515
28,0.99373,1.35779
29,0.91814,1.28992
30,0.89995,1.25805
31,0.89673,1.12237
32,0.89791,0.91429
33,0.89768,0.91429
34,0.89817,0.51819
35,0.9971,0.3944
36,0.9964,0.19852
37,0.99647,0.3944
38,0.99721,0.51819
39,0.99609,0.61287
40,0.99778,0.61287
41,0.99645,0.79099
42,0.99777,0.84511
43,0.9951,0.85569
44,0.99723,0.82372
45,0.99761,0.79099
46,0.99574,0.56234
47,0.99553,0.42271
48,0.99525,0.42271
49,0.99494,0.32508
50,0.99589,0.3944
51,0.99565,0.3944
52,0.99503,0.70835
53,0.9959,0.7999
54,0.99701,0.91429
55,0.99172,0.91429
56,0.99647,1.16482
57,0.99339,1.22061
58,0.9946,1.31955
59,0.99253,1.35353
60,0.99451,1.35779
61,0.9955,1.24878
62,0.99803,1.10589
63,0.99747,1.10589
64,0.99617,0.99582
65,0.99676,0.82372
66,0.99646,0.56234
67,0.99721,0.5004
68,0.99779,0.61287
69,0.99772,0.81881
70,0.99633,0.81881
71,0.996,0.80182
72,0.99851,0.89795
73,0.99792,1.01266
74,0.99717,0.85569
75,0.99824,0.82372
76,0.99811,0.74603
77,0.99657,0.68744
78,0.99448,0.42271
79,0.99737,0.32508
80,0.99718,0.19852
81,0.99668,0
82,0.99787,0
83,0.99692,0.19852
84,0.99417,0.32508
85,0.9968,0.61287
86,0.99563,0.61287
87,0.99356,0.96726
88,0.99298,1.09406
89,0.98925,1.16112
90,0.99073,1.14212
91,0.99316,1.16482
92,0.99272,1.16482
93,0.99657,0.98194
94,0.99483,0.82372
95,0.99565,0.85569
96,0.99341,0.85569
97,0.99806,0.68814
98,0.99732,0.84511
99,0.99604,0.99582
100,0.99652,1.09406
101,0.99475,1.09406
102,0.99597,1.12237
103,0.99717,1.04865
104,0.99681,1.10589
105,0.99482,1.07005
106,0.99722,1.03311
107,0.99436,0.92616
108,0.99331,0.63903
109,0.99573,0.51819
110,0.99692,0.51819
111,0.99455,0.19852
112,0.99657,0.19852
113,0.99465,0
114,0.99495,0.32508
115,0.99562,0.32508
116,0.99509,0.32508
117,0.99606,0.5004
118,0.99387,0.64745
119,0.9961,0.84511
120,0.99721,0.84511
121,0.99734,0.74603
122,0.9959,0.68744
123,0.99643,0.98194
124,0.99851,0.61287
125,0.99672,0.68744
126,0.99611,0.5004
127,0.9954,0.61086
128,0.99764,0.61086
129,0.99639,0.64745
130,0.99818,0.99582
131,0.99696,0.99582
132,0.99536,1.01266
133,0.99543,1.27985
134,0.99712,1.36616
135,0.99608,1.27985
136,0.99748,1.29684
137,0.99778,1.2376
138,0.9976,1.16552
139,0.99831,0.98194
140,0.99752,0.70835
141,0.99695,0.61287
142,0.99852,0.42271
143,0.99817,0.19852
144,0.99812,0.19852
145,0.99824,0.3944
146,0.9962,0.3944
147,0.9975,0.32508
148,0.99654,0.32508
149,0.99755,0.61086
150,0.99268,0.64745
151,0.99742,0.68814
152,0.99546,0.68814
153,0.99587,0.64745
154,0.9977,0.64745
155,0.99531,0.5004
156,0.99758,0.32508
157,0.90575,0.32508
158,0.89475,0.19852
159,0.8957,0
160,0.79077,0
161,0.63482,0.19852
162,0.54443,0.19852
163,0.3663,0.19852
164,0.53595,0.19852
165,0.66689,0.19852
166,0.61826,0.42271
167,0.47266,0.32508
168,0.39185,0.19852
169,0.41643,0.19852
